ID,Equation,"Inputs (A, B, C, D)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
1,"AND(D, AND(AND(A, B), C))","[1, 1, 1, 1]",AND -> AND -> AND,6,9,3,1
2,"AND(D, AND(OR(A, B), C))","[1, 1, 0, 1]",AND -> AND -> OR,6,9,3,0
3,"AND(D, AND(NOT(A), C))","[0, 0, 1, 1]",AND -> AND -> NOT,5,7.5,3,0
4,"AND(D, AND(BUFFER(A), C))","[1, 0, 0, 1]",AND -> AND -> BUFFER,4.2,6.5,3,0
5,"AND(D, AND(NAND(A, B), C))","[1, 1, 1, 0]",AND -> AND -> NAND,5.5,8.5,3,1
6,"AND(D, AND(NOR(A, B), C))","[1, 0, 0, 1]",AND -> AND -> NOR,5.5,8.5,3,0
7,"AND(D, AND(XOR(A, B), C))","[0, 0, 1, 0]",AND -> AND -> XOR,6.5,9.5,3,0
8,"AND(D, AND(XNOR(A, B), C))","[1, 1, 1, 1]",AND -> AND -> XNOR,6.5,9.5,3,1
9,"AND(D, OR(AND(A, B), C))","[1, 1, 1, 0]",AND -> OR -> AND,6,9,3,1
10,"AND(D, OR(OR(A, B), C))","[0, 0, 1, 1]",AND -> OR -> OR,6,9,3,1
11,"AND(D, OR(NOT(A), C))","[0, 1, 0, 0]",AND -> OR -> NOT,5,7.5,3,0
12,"AND(D, OR(BUFFER(A), C))","[0, 0, 0, 0]",AND -> OR -> BUFFER,4.2,6.5,3,0
13,"AND(D, OR(NAND(A, B), C))","[1, 0, 1, 1]",AND -> OR -> NAND,5.5,8.5,3,0
14,"AND(D, OR(NOR(A, B), C))","[0, 1, 1, 0]",AND -> OR -> NOR,5.5,8.5,3,1
15,"AND(D, OR(XOR(A, B), C))","[0, 1, 0, 1]",AND -> OR -> XOR,6.5,9.5,3,0
16,"AND(D, OR(XNOR(A, B), C))","[1, 1, 1, 0]",AND -> OR -> XNOR,6.5,9.5,3,1
17,"AND(D, NOT(AND(A, B)))","[0, 0, 1, 1]",AND -> NOT -> AND,5,7.5,3,1
18,"AND(D, NOT(OR(A, B)))","[0, 1, 0, 1]",AND -> NOT -> OR,5,7.5,3,0
19,"AND(D, NOT(NOT(A)))","[0, 0, 0, 0]",AND -> NOT -> NOT,4,6,3,0
20,"AND(D, NOT(BUFFER(A)))","[1, 0, 0, 0]",AND -> NOT -> BUFFER,3.2,5,3,0
21,"AND(D, NOT(NAND(A, B)))","[1, 0, 1, 0]",AND -> NOT -> NAND,4.5,7,3,1
22,"AND(D, NOT(NOR(A, B)))","[0, 0, 0, 0]",AND -> NOT -> NOR,4.5,7,3,0
23,"AND(D, NOT(XOR(A, B)))","[0, 0, 0, 1]",AND -> NOT -> XOR,5.5,8,3,0
24,"AND(D, NOT(XNOR(A, B)))","[1, 1, 1, 0]",AND -> NOT -> XNOR,5.5,8,3,0
25,"AND(D, BUFFER(AND(A, B)))","[1, 0, 0, 1]",AND -> BUFFER -> AND,4.2,6.5,3,0
26,"AND(D, BUFFER(OR(A, B)))","[0, 1, 0, 1]",AND -> BUFFER -> OR,4.2,6.5,3,0
27,"AND(D, BUFFER(NOT(A)))","[1, 0, 0, 0]",AND -> BUFFER -> NOT,3.2,5,3,0
28,"AND(D, BUFFER(BUFFER(A)))","[0, 1, 1, 1]",AND -> BUFFER -> BUFFER,2.4,4,3,1
29,"AND(D, BUFFER(NAND(A, B)))","[0, 0, 1, 0]",AND -> BUFFER -> NAND,3.7,6,3,0
30,"AND(D, BUFFER(NOR(A, B)))","[1, 1, 1, 1]",AND -> BUFFER -> NOR,3.7,6,3,1
31,"AND(D, BUFFER(XOR(A, B)))","[1, 0, 0, 0]",AND -> BUFFER -> XOR,4.7,7,3,0
32,"AND(D, BUFFER(XNOR(A, B)))","[0, 1, 0, 0]",AND -> BUFFER -> XNOR,4.7,7,3,0
33,"AND(D, NAND(AND(A, B), C))","[0, 1, 1, 1]",AND -> NAND -> AND,5.5,8.5,3,1
34,"AND(D, NAND(OR(A, B), C))","[1, 1, 0, 1]",AND -> NAND -> OR,5.5,8.5,3,0
35,"AND(D, NAND(NOT(A), C))","[0, 0, 1, 1]",AND -> NAND -> NOT,4.5,7,3,1
