ID,Equation,"Inputs (A, B, C, D)",Circuit,Min Delay (ns),Max Delay (ns),Combinational Depth,Final Output (Y)
1,"AND(AND(AND(A, B), C), D)","[1, 1, 1, 1]",AND -> AND -> AND,6,9,3,1
2,"AND(AND(OR(A, B), C), D)","[1, 1, 0, 1]",AND -> AND -> OR,6,9,3,0
3,"AND(AND(NOT(A), C), D)","[0, 0, 1, 1]",AND -> AND -> NOT,5,7.5,3,0
4,"AND(AND(BUFFER(A), C), D)","[1, 0, 0, 1]",AND -> AND -> BUFFER,4.2,6.5,3,0
5,"AND(AND(NAND(A, B), C), D)","[1, 1, 1, 0]",AND -> AND -> NAND,5.5,8.5,3,1
6,"AND(AND(NOR(A, B), C), D)","[1, 0, 0, 1]",AND -> AND -> NOR,5.5,8.5,3,0
7,"AND(AND(XOR(A, B), C), D)","[0, 0, 1, 0]",AND -> AND -> XOR,6.5,9.5,3,0
8,"AND(AND(XNOR(A, B), C), D)","[1, 1, 1, 1]",AND -> AND -> XNOR,6.5,9.5,3,1
9,"AND(OR(AND(A, B), C), D)","[1, 1, 1, 0]",AND -> OR -> AND,6,9,3,1
10,"AND(OR(OR(A, B), C), D)","[0, 0, 1, 1]",AND -> OR -> OR,6,9,3,1
11,"AND(OR(NOT(A), C), D)","[0, 1, 0, 0]",AND -> OR -> NOT,5,7.5,3,0
12,"AND(OR(BUFFER(A), C), D)","[0, 0, 0, 0]",AND -> OR -> BUFFER,4.2,6.5,3,0
13,"AND(OR(NAND(A, B), C), D)","[1, 0, 1, 1]",AND -> OR -> NAND,5.5,8.5,3,0
14,"AND(OR(NOR(A, B), C), D)","[0, 1, 1, 0]",AND -> OR -> NOR,5.5,8.5,3,1
15,"AND(OR(XOR(A, B), C), D)","[0, 1, 0, 1]",AND -> OR -> XOR,6.5,9.5,3,0
16,"AND(OR(XNOR(A, B), C), D)","[1, 1, 1, 0]",AND -> OR -> XNOR,6.5,9.5,3,1
17,"AND(NOT(AND(A, B)), D)","[0, 0, 1, 1]",AND -> NOT -> AND,5,7.5,3,1
18,"AND(NOT(OR(A, B)), D)","[0, 1, 0, 1]",AND -> NOT -> OR,5,7.5,3,0
19,"AND(NOT(NOT(A)), D)","[0, 0, 0, 0]",AND -> NOT -> NOT,4,6,3,0
20,"AND(NOT(BUFFER(A)), D)","[1, 0, 0, 0]",AND -> NOT -> BUFFER,3.2,5,3,0
21,"AND(NOT(NAND(A, B)), D)","[1, 0, 1, 0]",AND -> NOT -> NAND,4.5,7,3,1
22,"AND(NOT(NOR(A, B)), D)","[0, 0, 0, 0]",AND -> NOT -> NOR,4.5,7,3,0
23,"AND(NOT(XOR(A, B)), D)","[0, 0, 0, 1]",AND -> NOT -> XOR,5.5,8,3,0
24,"AND(NOT(XNOR(A, B)), D)","[1, 1, 1, 0]",AND -> NOT -> XNOR,5.5,8,3,0
25,"AND(BUFFER(AND(A, B)), D)","[1, 0, 0, 1]",AND -> BUFFER -> AND,4.2,6.5,3,0
26,"AND(BUFFER(OR(A, B)), D)","[0, 1, 0, 1]",AND -> BUFFER -> OR,4.2,6.5,3,0
27,"AND(BUFFER(NOT(A)), D)","[1, 0, 0, 0]",AND -> BUFFER -> NOT,3.2,5,3,0
28,"AND(BUFFER(BUFFER(A)), D)","[0, 1, 1, 1]",AND -> BUFFER -> BUFFER,2.4,4,3,1
29,"AND(BUFFER(NAND(A, B)), D)","[0, 0, 1, 0]",AND -> BUFFER -> NAND,3.7,6,3,0
30,"AND(BUFFER(NOR(A, B)), D)","[1, 1, 1, 1]",AND -> BUFFER -> NOR,3.7,6,3,1
31,"AND(BUFFER(XOR(A, B)), D)","[1, 0, 0, 0]",AND -> BUFFER -> XOR,4.7,7,3,0
32,"AND(BUFFER(XNOR(A, B)), D)","[0, 1, 0, 0]",AND -> BUFFER -> XNOR,4.7,7,3,0
33,"AND(NAND(AND(A, B), C), D)","[0, 1, 1, 1]",AND -> NAND -> AND,5.5,8.5,3,1
34,"AND(NAND(OR(A, B), C), D)","[1, 1, 0, 1]",AND -> NAND -> OR,5.5,8.5,3,0
35,"AND(NAND(NOT(A), C), D)","[0, 0, 1, 1]",AND -> NAND -> NOT,4.5,7,3,1
36,"AND(NAND(BUFFER(A), C), D)","[1, 1, 0, 1]",AND -> NAND -> BUFFER,3.7,6,3,0
37,"AND(NAND(NAND(A, B), C), D)","[1, 0, 1, 0]",AND -> NAND -> NAND,5,8,3,1
38,"AND(NAND(NOR(A, B), C), D)","[0, 1, 1, 1]",AND -> NAND -> NOR,5,8,3,1
39,"AND(NAND(XOR(A, B), C), D)","[0, 1, 0, 0]",AND -> NAND -> XOR,6,9,3,0
40,"AND(NAND(XNOR(A, B), C), D)","[1, 0, 1, 0]",AND -> NAND -> XNOR,6,9,3,1
41,"AND(NOR(AND(A, B), C), D)","[0, 1, 1, 1]",AND -> NOR -> AND,5.5,8.5,3,0
42,"AND(NOR(OR(A, B), C), D)","[0, 1, 0, 0]",AND -> NOR -> OR,5.5,8.5,3,0
